vol,ask,bid,open,close,high,low,start,end
682357,147193.75,147179.75,5072,5080.75,5082.5,5068.5,2024-02-08 08:30:00,2024-02-08 15:30:00
839224,147830.75,147816.5,5089.75,5107.25,5112.75,5080.5,2024-02-09 08:30:00,2024-02-09 15:30:00
812012,148335.5,148321.25,5109,5104.5,5130.75,5097.5,2024-02-12 08:30:00,2024-02-12 15:30:00
1502312,146131.75,146116.25,5088.5,5006.75,5092.25,5000.75,2024-02-13 08:30:00,2024-02-13 15:30:00
1126619,146676.75,146662.25,5063,5073.25,5075.5,5037,2024-02-14 08:30:00,2024-02-14 15:30:00
957375,147729.75,147715.25,5088.5,5107,5112.75,5078,2024-02-15 08:30:00,2024-02-15 15:30:00
1124626,148072.75,148058.25,5118.75,5095.5,5120.25,5077,2024-02-16 08:30:00,2024-02-16 15:30:00
41401,96706.25,96696.75,5088.25,5084,5093,5087.25,2024-02-19 08:30:00,2024-02-19 18:15:00
1009152,146547.75,146533.25,5070.5,5056,5073.5,5032.5,2024-02-20 08:30:00,2024-02-20 15:30:00
964650,146196.25,146181.75,5041,5032.5,5051.25,5023.25,2024-02-21 08:30:00,2024-02-21 15:30:00
1142587,149167.75,149153.25,5124.5,5164.25,5172,5116.5,2024-02-22 08:30:00,2024-02-22 15:30:00
959574,149993,149978.75,5166.25,5164.75,5187.75,5156.75,2024-02-23 08:30:00,2024-02-23 15:30:00
744374,149667.25,149652.75,5164.25,5153.75,5172.25,5145,2024-02-26 08:30:00,2024-02-26 15:30:00
717294,149182,149167.5,5148.75,5151.5,5153.25,5131.25,2024-02-27 08:30:00,2024-02-27 15:30:00
813109,149150.25,149135.75,5134.75,5144.5,5152,5132.75,2024-02-28 08:30:00,2024-02-28 15:30:00
1116840,149497.5,149483,5132,5162.75,5169.75,5127.5,2024-02-29 08:30:00,2024-02-29 15:30:00
1095608,150502.75,150488.25,5169.25,5209.5,5213.5,5163.25,2024-03-01 08:30:00,2024-03-01 15:30:00
786424,151005.25,150990.75,5204.25,5214.75,5222,5196.25,2024-03-04 08:30:00,2024-03-04 15:30:00
1288233,149678.5,149663.5,5187.25,5128.5,5187.75,5127.25,2024-03-05 08:30:00,2024-03-05 15:30:00
1485690,150295.25,150280.75,5174.25,5169.5,5198.75,5162,2024-03-06 08:30:00,2024-03-06 15:30:00
1128913,151293.25,151278.5,5188.75,5221.75,5234.75,5188.75,2024-03-07 08:30:00,2024-03-07 15:30:00
1702432,151480,151464,5219.5,5194.25,5257.25,5186,2024-03-08 08:30:00,2024-03-08 15:30:00
937598,150171,150156.5,5178.5,5187.75,5191.5,5157,2024-03-11 08:30:00,2024-03-11 15:30:00
1314695,151562.25,151547.75,5202,5242.75,5246.75,5180,2024-03-12 08:30:00,2024-03-12 15:30:00
1133662,151890.5,151876,5242.25,5236.75,5246,5217.5,2024-03-13 08:30:00,2024-03-13 15:30:00
1729689,151257,151241.5,5240,5218,5241.5,5188,2024-03-14 08:30:00,2024-03-14 15:30:00
1527916,150350.5,150333.5,5211.75,5186.25,5212,5167.75,2024-03-15 08:30:00,2024-03-15 15:30:00
1131393,151568.75,151554.25,5222.75,5214.75,5240.25,5210.25,2024-03-18 08:30:00,2024-03-18 15:30:00
1095379,151427,151410.75,5199.25,5240.25,5244.75,5195.25,2024-03-19 08:30:00,2024-03-19 15:30:00
1199842,152294.25,152279.5,5237.5,5294.5,5295.75,5233,2024-03-20 08:30:00,2024-03-20 15:30:00
1055703,154112.5,154098,5310.75,5307.75,5322.75,5300,2024-03-21 08:30:00,2024-03-21 15:30:00
873833,153644,153629.5,5300.25,5288.5,5306,5287.75,2024-03-22 08:30:00,2024-03-22 15:30:00
692242,153224.75,153210.75,5278,5278.75,5288.75,5274.25,2024-03-25 08:30:00,2024-03-25 15:30:00
880128,153316.5,153302,5287,5272.25,5294.5,5263,2024-03-26 08:30:00,2024-03-26 15:30:00
1206346,153205.5,153190.5,5289.75,5311.25,5313.75,5270.75,2024-03-27 08:30:00,2024-03-27 15:30:00
969216,154036.75,154022.5,5310.5,5306.25,5321,5302,2024-03-28 08:30:00,2024-03-28 15:30:00
925614,153597,153582.75,5311.5,5291.75,5317.25,5282.25,2024-04-01 08:30:00,2024-04-01 15:30:00
1111236,152212,152195.5,5252.5,5262.5,5262.5,5235,2024-04-02 08:30:00,2024-04-02 15:30:00
1127043,152843.25,152828.75,5248.25,5270.5,5280.75,5244.5,2024-04-03 08:30:00,2024-04-03 15:30:00
1648361,153006,152989,5303.25,5193.5,5308.5,5192.5,2024-04-04 08:30:00,2024-04-04 15:30:00
1483090,152135.5,152118.5,5205.5,5253.75,5272.5,5205.25,2024-04-05 08:30:00,2024-04-05 15:30:00
897003,152501,152486.5,5264.25,5256,5268.75,5245.25,2024-04-08 08:30:00,2024-04-08 15:30:00
1411298,151999.25,151983.75,5267.25,5266,5274.25,5208.25,2024-04-09 08:30:00,2024-04-09 15:30:00
1874615,150858.75,150844,5181.75,5199.5,5226.5,5181.5,2024-04-10 08:30:00,2024-04-10 15:30:00
1359442,151494.75,151478.75,5218.75,5244.75,5257.5,5181.75,2024-04-11 08:30:00,2024-04-11 15:30:00
1608338,150185,150168.5,5202,5169,5218.75,5150,2024-04-12 08:30:00,2024-04-12 15:30:00
1782941,149412,149394,5211.5,5098.75,5213.25,5094,2024-04-15 08:30:00,2024-04-15 15:30:00
1665561,147927,147912.75,5112.25,5091.75,5123.25,5078.75,2024-04-16 08:30:00,2024-04-16 15:30:00
1620571,147317.25,147301.5,5119,5062,5120.5,5047,2024-04-17 08:30:00,2024-04-17 15:30:00
1429450,146881.75,146865.5,5074.75,5048.75,5095.25,5038.5,2024-04-18 08:30:00,2024-04-18 15:30:00
1701732,145659.5,145644.5,5044.25,5005.25,5058,4991.25,2024-04-19 08:30:00,2024-04-19 15:30:00
1292481,146157.75,146143.5,5033.25,5046,5076.75,5006,2024-04-22 08:30:00,2024-04-22 15:30:00
1120769,147905.75,147891.25,5068.5,5111.75,5113,5063.75,2024-04-23 08:30:00,2024-04-23 15:30:00
1235159,147976.5,147962,5109.75,5082,5124.75,5072.25,2024-04-24 08:30:00,2024-04-24 15:30:00
1523996,146749.75,146733.5,5036,5124,5131.75,5022.25,2024-04-25 08:30:00,2024-04-25 15:30:00
1126355,148900.25,148885,5114.5,5130.25,5146.5,5104.5,2024-04-26 08:30:00,2024-04-26 15:30:00
977362,149198.5,149184.25,5144,5147,5154.25,5118.75,2024-04-29 08:30:00,2024-04-29 15:30:00
1381038,148138,148123,5130.25,5054,5141.25,5051,2024-04-30 08:30:00,2024-04-30 15:30:00
1705451,146817,146801.5,5056.5,5050.75,5126.75,5042.25,2024-05-01 08:30:00,2024-05-01 15:30:00
